Company,Industry,Country,Year,Environmental_Score,Social_Score,Governance_Score,ESG_Score,Market_Cap (Billion $),Revenue (Billion $),Net_Profit (%),Stock_Price,News_Sentiment,CO2_Emissions (Tonnes)
GreenTech Ltd.,Technology,Brazil,2015,89,70,67,75.3,243.6,42.2,7.9,226.3,Positive,77461
AgroWorld Inc.,Consumer Goods,UK,2021,88,80,61,76.3,399.7,199.5,10.5,269.81,Negative,55288
RenewablesPlus,Energy,Australia,2022,100,58,57,71.7,278.3,50.6,19.8,206.92,Positive,22574
FutureFoods Corp.,Technology,UK,2019,85,59,74,72.7,157.7,49.6,15.3,330.12,Positive,10534
FinSecure Holdings,Agriculture,UK,2019,93,60,83,78.7,60.9,179.4,16.1,352.52,Neutral,20150
EcoWave Energy,Technology,Germany,2021,62,83,95,80.0,120.6,32.4,12.6,370.74,Negative,38336
SustainLife Ventures,Finance,Germany,2021,59,69,90,72.7,186.9,110.6,9.2,472.96,Neutral,43135
PureHarvest Farms,Technology,UK,2023,90,58,53,67.0,353.5,62.9,12.7,450.55,Neutral,15511
SolarSphere Inc.,Energy,UK,2023,79,76,100,85.0,25.3,58.0,5.1,245.8,Neutral,58575
GreenPath Systems,Energy,Brazil,2020,62,82,64,69.3,359.9,90.9,5.2,301.48,Positive,22024
BrightFuture Renewables,Finance,Germany,2015,71,79,67,72.3,359.7,153.7,18.7,378.04,Negative,55649
NextGen Agriculture,Agriculture,USA,2021,95,71,78,81.3,275.7,159.4,5.6,164.82,Neutral,98601
Global Impact Solutions,Consumer Goods,Canada,2021,99,92,96,95.7,41.5,139.5,19.0,143.65,Negative,10171
UrbanEco Builders,Consumer Goods,UK,2021,91,73,55,73.0,451.1,19.4,6.0,104.04,Neutral,62332
Visionary Ventures,Energy,India,2021,59,75,54,62.7,307.7,191.3,15.5,247.62,Positive,38359
CleanEarth Technologies,Agriculture,Australia,2023,92,90,75,85.7,358.8,127.9,9.4,24.92,Positive,21570
GreenSky Innovations,Consumer Goods,Brazil,2016,90,83,94,89.0,479.0,36.6,17.4,406.74,Positive,32667
Sustainable Horizons,Consumer Goods,Australia,2015,63,54,97,71.3,287.1,72.7,18.7,316.26,Positive,88131
GreenGrowth Partners,Finance,Australia,2025,56,54,58,56.0,216.8,179.7,8.7,493.07,Positive,74381
EcoWise Industries,Agriculture,Germany,2022,98,59,61,72.7,426.1,131.0,19.3,57.64,Neutral,81701
BioLife Sciences,Technology,Brazil,2023,97,94,51,80.7,240.1,159.8,11.4,182.3,Positive,26874
SmartSustain Systems,Finance,USA,2015,74,51,90,71.7,18.6,159.6,14.9,18.68,Neutral,20318
BluePlanet Energy,Energy,Germany,2025,62,56,84,67.3,128.9,133.4,10.0,488.8,Negative,50224
EcoDriven Solutions,Technology,USA,2025,62,74,93,76.3,341.6,41.2,16.5,42.02,Positive,97437
FutureVision Dynamics,Consumer Goods,Brazil,2024,87,100,66,84.3,462.2,111.1,9.9,369.66,Negative,80761
Planetary Resources Inc.,Energy,India,2019,63,95,84,80.7,284.0,67.0,7.9,488.95,Neutral,74445
Innovative Earthworks,Energy,Australia,2023,87,50,67,68.0,58.7,55.8,13.2,182.67,Negative,92970
EcoGlobal Enterprises,Finance,USA,2018,81,51,76,69.3,321.9,190.2,16.6,151.14,Neutral,93458
GreenVibe Technologies,Finance,India,2015,69,98,55,74.0,19.7,79.2,19.4,49.3,Positive,48207
EverGreen Dynamics,Finance,Canada,2025,83,59,60,67.3,474.7,106.1,14.5,159.17,Positive,47715
Sustainable Futures Inc.,Finance,Germany,2017,96,78,93,89.0,414.2,100.1,11.7,420.55,Neutral,90670
EcoImpact Analytics,Finance,Australia,2021,63,100,86,83.0,110.7,188.9,8.6,42.6,Negative,80696
GreenCore Solutions,Technology,India,2021,58,50,76,61.3,468.1,3.1,18.8,402.21,Negative,48968
EnviroLife Enterprises,Finance,India,2017,87,75,96,86.0,457.8,78.3,7.8,13.27,Neutral,11452
PureEco Technologies,Energy,Brazil,2016,99,99,60,86.0,420.4,179.6,15.2,258.58,Negative,29128
EcoAdvantage Ventures,Finance,Brazil,2025,90,80,73,81.0,221.8,157.2,12.8,137.8,Positive,64730
EcoLink Industries,Energy,India,2022,100,63,91,84.7,319.3,82.9,8.1,312.2,Positive,62019
BrightPlanet Group,Finance,USA,2019,68,97,97,87.3,86.9,14.5,16.4,276.13,Negative,31928
EcoSphere Technologies,Consumer Goods,Germany,2016,50,60,90,66.7,103.6,55.0,15.8,495.12,Positive,90183
SustainaTech Innovations,Agriculture,UK,2022,99,51,55,68.3,339.7,92.4,7.4,263.48,Neutral,96856
NatureFirst Group,Agriculture,USA,2020,82,91,77,83.3,487.0,96.3,9.7,98.08,Neutral,75229
